"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Aug 25 05:56:41 GMT 2022","Thu Aug 25 05:56:41 GMT 2022","6","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","dontFixMe","dontFixMe",""
"passed","Thu Aug 25 05:56:41 GMT 2022","Thu Aug 25 05:56:41 GMT 2022","1","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendAMessage","sendAMessage",""
"passed","Thu Aug 25 05:56:41 GMT 2022","Thu Aug 25 05:56:58 GMT 2022","16879","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","Login","Login",""
"passed","Thu Aug 25 05:54:53 GMT 2022","Thu Aug 25 05:54:53 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Thu Aug 25 05:54:53 GMT 2022","Thu Aug 25 05:54:53 GMT 2022","11","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Thu Aug 25 05:54:53 GMT 2022","Thu Aug 25 05:54:53 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Thu Aug 25 05:54:53 GMT 2022","Thu Aug 25 05:56:41 GMT 2022","108516","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","CreateThenEditCase","CreateThenEditCase",""
"passed","Thu Aug 25 05:56:41 GMT 2022","Thu Aug 25 05:56:41 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendAMessage","sendAMessage",""
"passed","Thu Aug 25 05:56:41 GMT 2022","Thu Aug 25 05:56:41 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendCommunication","sendCommunication",""
"passed","Thu Aug 25 05:56:41 GMT 2022","Thu Aug 25 05:56:41 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.SpaceShipTest","com.costa.luiz.testng.SpaceShipTest","checkMeasureToBeMetric","Check the measure to be metric",""
"unknown","Thu Aug 25 05:54:52 GMT 2022","Thu Aug 25 05:54:52 GMT 2022","1","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","entertainmentSystem","entertainmentSystem",""
"passed","Thu Aug 25 05:56:41 GMT 2022","Thu Aug 25 05:56:41 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","validateTransaction","validateTransaction",""
"passed","Thu Aug 25 05:56:41 GMT 2022","Thu Aug 25 05:56:41 GMT 2022","1","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","rollbackATransaction","rollbackATransaction",""
